"code" "name" "class"
"sh600757" "长江传媒" "传媒"
"sh600825" "新华传媒" "传媒"
"sh600831" "广电网络" "传媒"
"sh601098" "中南传媒" "传媒"
"sh601801" "皖新传媒" "传媒"
"sh601928" "凤凰传媒" "传媒"
"sh601929" "吉视传媒" "传媒"
"sh601999" "出版传媒" "传媒"
"sz000156" "华数传媒" "传媒"
"sz000504" "*ST传媒" "传媒"
"sz000665" "湖北广电" "传媒"
"sz000719" "大地传媒" "传媒"
"sz000793" "华闻传媒" "传媒"
"sz000917" "电广传媒" "传媒"
"sz002181" "粤" "传媒"
"sz002238" "天威视讯" "传媒"
"sz002292" "奥飞动漫" "传媒"
"sz300027" "华谊兄弟" "传媒"
"sz300133" "华策影视" "传媒"
"sz300148" "天舟文化" "传媒"
"sz300251" "光线传媒" "传媒"
"sz300291" "华录百纳" "传媒"
"sz300336" "新文化" "传媒"
"sh600009" "上海机场" "迪士尼"
"sh600115" "东方航空" "迪士尼"
"sh600170" "上海建工" "迪士尼"
"sh600278" "东方创业" "迪士尼"
"sh600284" "浦东建设" "迪士尼"
"sh600611" "大众交通" "迪士尼"
"sh600628" "新世界" "迪士尼"
"sh600630" "龙头股份" "迪士尼"
"sh600639" "浦东金桥" "迪士尼"
"sh600648" "外高桥" "迪士尼"
"sh600655" "豫园商城" "迪士尼"
"sh600662" "强生控股" "迪士尼"
"sh600663" "陆家嘴" "迪士尼"
"sh600675" "中华企业" "迪士尼"
"sh600676" "交运股份" "迪士尼"
"sh600692" "亚通股份" "迪士尼"
"sh600708" "海博股份" "迪士尼"
"sh600732" "上海新梅" "迪士尼"
"sh600741" "华域汽车" "迪士尼"
"sh600754" "锦江股份" "迪士尼"
"sh600818" "中路股份" "迪士尼"
"sh600827" "百联股份" "迪士尼"
"sh600832" "东方明珠" "迪士尼"
"sh600834" "申通地铁" "迪士尼"
"sh600836" "界龙实业" "迪士尼"
"sh600895" "张江高科" "迪士尼"
"sz002162" "斯米克" "迪士尼"
"sh600059" "古越龙山" "酿酒"
"sh600084" "中葡股份" "酿酒"
"sh600090" "啤酒花" "酿酒"
"sh600132" "重庆啤酒" "酿酒"
"sh600197" "伊力特" "酿酒"
"sh600199" "金种子酒" "酿酒"
"sh600238" "海南椰岛" "酿酒"
"sh600365" "通葡股份" "酿酒"
"sh600519" "贵州茅台" "酿酒"
"sh600543" "莫高股份" "酿酒"
"sh600559" "老白干酒" "酿酒"
"sh600573" "惠泉啤酒" "酿酒"
"sh600600" "青岛啤酒" "酿酒"
"sh600616" "金枫酒业" "酿酒"
"sh600702" "沱牌舍得" "酿酒"
"sh600779" "水井坊" "酿酒"
"sh600809" "山西汾酒" "酿酒"
"sz000557" "*ST广夏" "酿酒"
"sz000568" "泸州老窖" "酿酒"
"sz000596" "古井贡酒" "酿酒"
"sz000729" "燕京啤酒" "酿酒"
"sz000752" "西藏发展" "酿酒"
"sz000799" "酒" "酿酒"
"sz000858" "五" "酿酒"
"sz000869" "张" "酿酒"
"sz000929" "兰州黄河" "酿酒"
"sz000995" "皇台酒业" "酿酒"
"sz002304" "洋河股份" "酿酒"
"sz002461" "珠江啤酒" "酿酒"
"sz002646" "青青稞酒" "酿酒"
"sh600111" "北方稀土" "有色"
"sh600139" "西部资源" "有色"
"sh600219" "南山铝业" "有色"
"sh600255" "鑫科材料" "有色"
"sh600259" "广晟有色" "有色"
"sh600311" "荣华实业" "有色"
"sh600331" "宏达股份" "有色"
"sh600338" "西藏珠峰" "有色"
"sh600362" "江西铜业" "有色"
"sh600390" "金瑞科技" "有色"
"sh600432" "吉恩镍业" "有色"
"sh600456" "宝钛股份" "有色"
"sh600459" "贵研铂业" "有色"
"sh600489" "中金黄金" "有色"
"sh600497" "驰宏锌锗" "有色"
"sh600531" "豫光金铅" "有色"
"sh600547" "山东黄金" "有色"
"sh600549" "厦门钨业" "有色"
"sh600595" "中孚实业" "有色"
"sh600673" "东阳光科" "有色"
"sh600711" "盛屯矿业" "有色"
"sh600714" "金瑞矿业" "有色"
"sh600768" "宁波富邦" "有色"
"sh600888" "新疆众和" "有色"
"sh600961" "株冶集团" "有色"
"sh601137" "博威合金" "有色"
"sh601168" "西部矿业" "有色"
"sh601600" "中国铝业" "有色"
"sh601677" "明泰铝业" "有色"
"sh601899" "紫金矿业" "有色"
"sh601958" "金钼股份" "有色"
"sz000060" "中金岭南" "有色"
"sz000426" "兴业矿业" "有色"
"sz000587" "金叶珠宝" "有色"
"sz000603" "盛达矿业" "有色"
"sz000612" "焦作万方" "有色"
"sz000630" "铜陵有色" "有色"
"sz000657" "中钨高新" "有色"
"sz000697" "炼石有色" "有色"
"sz000751" "锌业股份" "有色"
"sz000758" "中色股份" "有色"
"sz000762" "西藏矿业" "有色"
"sz000807" "云铝股份" "有色"
"sz000831" "五矿稀土" "有色"
"sz000878" "云南铜业" "有色"
"sz000960" "锡业股份" "有色"
"sz000962" "东方钽业" "有色"
"sz002082" "栋梁新材" "有色"
"sz002114" "罗平锌电" "有色"
"sz002149" "西部材料" "有色"
"sz002155" "辰州矿业" "有色"
"sz002160" "*ST常铝" "有色"
"sz002167" "东方锆业" "有色"
"sz002171" "精诚铜业" "有色"
"sz002182" "云海金属" "有色"
"sz002203" "海亮股份" "有色"
"sz002237" "恒邦股份" "有色"
"sz002295" "精艺股份" "有色"
"sz002333" "罗普斯金" "有色"
"sz002340" "格林美" "有色"
"sz002378" "章源钨业" "有色"
"sz002379" "鲁丰环保" "有色"
"sz002428" "云南锗业" "有色"
"sz002460" "赣锋锂业" "有色"
"sz002501" "利源精制" "有色"
"sz002540" "亚太科技" "有色"
"sz002578" "闽发铝业" "有色"
"sz002617" "露笑科技" "有色"
"sz300034" "钢研高纳" "有色"
"sh600121" "郑州煤电" "煤炭"
"sh600123" "兰花科创" "煤炭"
"sh600157" "永泰能源" "煤炭"
"sh600179" "黑化股份" "煤炭"
"sh600188" "兖州煤业" "煤炭"
"sh600348" "阳泉煤业" "煤炭"
"sh600381" "*ST贤成" "煤炭"
"sh600395" "盘江股份" "煤炭"
"sh600397" "安源煤业" "煤炭"
"sh600403" "大有能源" "煤炭"
"sh600408" "安泰集团" "煤炭"
"sh600508" "上海能源" "煤炭"
"sh600546" "山煤国际" "煤炭"
"sh600652" "爱使股份" "煤炭"
"sh600714" "金瑞矿业" "煤炭"
"sh600721" "百花村" "煤炭"
"sh600725" "云维股份" "煤炭"
"sh600740" "山西焦化" "煤炭"
"sh600792" "云煤能源" "煤炭"
"sh600971" "恒源煤电" "煤炭"
"sh600997" "开滦股份" "煤炭"
"sh601001" "大同煤业" "煤炭"
"sh601011" "宝泰隆" "煤炭"
"sh601088" "中国神华" "煤炭"
"sh601101" "昊华能源" "煤炭"
"sh601666" "平煤股份" "煤炭"
"sh601699" "潞安环能" "煤炭"
"sh601898" "中煤能源" "煤炭"
"sh601918" "国投新集" "煤炭"
"sz000034" "深信泰丰" "煤炭"
"sz000552" "靖远煤电" "煤炭"
"sz000571" "新大洲Ａ" "煤炭"
"sz000723" "美锦能源" "煤炭"
"sz000780" "平庄能源" "煤炭"
"sz000835" "长城动漫" "煤炭"
"sz000933" "神火股份" "煤炭"
"sz000937" "冀中能源" "煤炭"
"sz000968" "煤" "煤炭"
"sz000983" "西山煤电" "煤炭"
"sz002128" "露天煤业" "煤炭"
"sh600069" "银鸽投资" "造纸"
"sh600103" "青山纸业" "造纸"
"sh600163" "福建南纸" "造纸"
"sh600235" "民丰特纸" "造纸"
"sh600308" "华泰股份" "造纸"
"sh600356" "恒丰纸业" "造纸"
"sh600419" "天润乳业" "造纸"
"sh600433" "冠豪高新" "造纸"
"sh600462" "石岘纸业" "造纸"
"sh600567" "山鹰纸业" "造纸"
"sh600793" "ST宜纸" "造纸"
"sh600963" "岳阳林纸" "造纸"
"sh600966" "博汇纸业" "造纸"
"sz000488" "晨鸣纸业" "造纸"
"sz000815" "美利纸业" "造纸"
"sz000820" "金城股份" "造纸"
"sz000833" "贵糖股份" "造纸"
"sz002012" "凯恩股份" "造纸"
"sz002067" "景兴纸业" "造纸"
"sz002078" "太阳纸业" "造纸"
"sz002235" "安妮股份" "造纸"
"sz002303" "美盈森" "造纸"
"sz002511" "中顺洁柔" "造纸"
"sz002521" "齐峰新材" "造纸"
"sz002565" "上海绿新" "造纸"
"sh600006" "东风汽车" "电力"
"sh600066" "宇通客车" "电力"
"sh600081" "东风科技" "电力"
"sh600093" "禾嘉股份" "电力"
"sh600104" "上汽集团" "电力"
"sh600148" "长春一东" "电力"
"sh600166" "福田汽车" "电力"
"sh600178" "*ST东安" "电力"
"sh600182" "S佳通" "电力"
"sh600213" "亚星客车" "电力"
"sh600303" "曙光股份" "电力"
"sh600335" "国机汽车" "电力"
"sh600375" "华菱星马" "电力"
"sh600418" "江淮汽车" "电力"
"sh600469" "风神股份" "电力"
"sh600480" "凌云股份" "电力"
"sh600501" "航天晨光" "电力"
"sh600523" "贵航股份" "电力"
"sh600579" "天华院" "电力"
"sh600609" "金杯汽车" "电力"
"sh600623" "双钱股份" "电力"
"sh600653" "申华控股" "电力"
"sh600660" "福耀玻璃" "电力"
"sh600676" "交运股份" "电力"
"sh600686" "金龙汽车" "电力"
"sh600699" "均胜电子" "电力"
"sh600715" "松辽汽车" "电力"
"sh600741" "华域汽车" "电力"
"sh600742" "一汽富维" "电力"
"sh600760" "中航黑豹" "电力"
"sh600960" "渤海活塞" "电力"
"sh601058" "赛轮金宇" "电力"
"sh601238" "广汽集团" "电力"
"sh601258" "庞大集团" "电力"
"sh601633" "长城汽车" "电力"
"sh601799" "星宇股份" "电力"
"sh601965" "中国汽研" "电力"
"sz000025" "特" "电力"
"sz000030" "富奥股份" "电力"
"sz000338" "潍柴动力" "电力"
"sz000550" "江铃汽车" "电力"
"sz000559" "万向钱潮" "电力"
"sz000572" "海马汽车" "电力"
"sz000581" "威孚高科" "电力"
"sz000589" "黔轮胎Ａ" "电力"
"sz000599" "青岛双星" "电力"
"sz000622" "恒立实业" "电力"
"sz000625" "长安汽车" "电力"
"sz000700" "模塑科技" "电力"
"sz000710" "天兴仪表" "电力"
"sz000753" "漳州发展" "电力"
"sz000757" "浩物股份" "电力"
"sz000760" "斯太尔" "电力"
"sz000800" "一汽轿车" "电力"
"sz000868" "安凯客车" "电力"
"sz000927" "一汽夏利" "电力"
"sz000951" "中国重汽" "电力"
"sz000957" "中通客车" "电力"
"sz002013" "中航机电" "电力"
